201D	"
2019	'
22EE	...
2043	rectangle
25CA	lozenge
25C3	triangle left
25B9	triangle right
2605	bigstar
266E	music natural
2736	sextile
2315	telephone recorder symbol
2316	register mark or target
230D	downward left crop mark
230C	downward right crop mark
230F	upward left crop mark
230E	upward right crop mark
239B	(
239C	|
239D	(
239E	)
239F	|
23A0	)
23A1	[
23A2	|
23A3	[
23A4	]
23A5	|
23A6	]
23A7	{
23A8	{
23A9	{
23AA	|
23AB	}
23AC	}
23AD	}
23AE	|
23AF	_
2135	aleph
221F	90 degree angle
2222	angle-spherical
2248	=~
2235	because
#22A4	inverted perpendicular
22A4	T
#22A5	perpendicular
22A5	_|_
2245	congruent with
222E	integral
2261	=
2262	!=
# 2200-22FF: Mathematical Operators
# Mapping for range originally generated in part using NLM LVG toAscii.
2200	for-all
2201	complement
2202	d
2203	exists
2204	not-exists
2205	empty
2206	increment
2207	nabla
2208	in
2209	not-in
220A	in
220B	contains
220C	not-contains
220D	contains
220E	end-of-proof
220F	product
2210	coproduct
2211	sum
2212	-
2213	-/+
2214	+
2215	/
2216	\
2217	*
#2218	<RING OPERATOR>
#2219	<BULLET OPERATOR>
221A	sqrt
221B	cube-root
221C	fourth-root
#221D	proportional
221D	~
221E	infinity
#221F	<RIGHT ANGLE>
#2220	<ANGLE>
#2221	<MEASURED ANGLE>
#2222	<SPHERICAL ANGLE>
2223	|
2224	!|
2225	||
2226	!||
2227	^
2228	or
2229	intersection
222A	union
222B	integral
# 222C-22FF (complex operators etc.; largely excluded)
2295	(+)
2296	(-)
2297	(*)
2298	(/)
2299	(.)
229A	(o)
229B	(*)
229C	(=)
229D	(-)
229E	[+]
229F	[-]
0192	f
3008	<
2260	!=
2261	=
2262	!=
#2263	<STRICTLY EQUIVALENT TO>
2264	<=
2265	>=
2266	<=
2267	>=
2268	<!=
2269	>!=
226A	<<
226B	>>
226C	between
226D	!=
226E	!<
226F	!>
2030	/1000
2032	'
2033	''
3009	>
21D2	-->
223C	~
2243	~
25A1	square
2282	subset
2286	subset/equals
2283	superset
2287	superset/equals
2234	therefore
2016	||
# 2100-214F: Letterlike Symbols
# Mapping for range originally generated in part using NLM LVG toAscii.
2100	a/c
2101	a/s
2102	C
# 2103	degrees C
2103	C
#2104	<CENTRE LINE SYMBOL>
2105	c/o
2106	c/u
2107	E
#2108	<SCRUPLE>
#2109	degrees F
2109	F
210A	g
210B	H
210C	H
210D	H
210E	h
210F	h
2110	I
#2111	imaginary
2111	I
#2112	Lgrangian
2112	L
2113	l
2114	lb
2115	N
#2116	numero sign
2116	No
2117	(P)
#2118	Weierstrass p
2118	P
2119	P
211A	Q
211B	R
#211C	Re
211C	R
211D	R
#211E	Rx
211E	Px
211F	R
2120	(SM)
2121	TEL
2122	(TM)
2123	V
2124	Z
2125	ounce
#2126	ohm
2126	Omega
#2127	<INVERTED OHM SIGN>
2128	Z
2129	iota
212A	K
212B	A
212C	B
212D	C
212E	e
212F	e
2130	E
2131	F
2132	F
2133	M
2134	o
2135	aleph
#2136	bet
2136	beth
2137	gimel
#2138	dalet
2138	daleth
2139	i
213A	Q
213B	FAX
213C	pi
213D	gamma
213E	Gamma
213F	Pi
2140	sum
2141	G
2142	L
2143	L
2144	Y
2145	D
2146	d
2147	e
2148	i
2149	j
214A	(PL)
214B	&
214C	per
214D	A/S
214E	F
212B	A
212C	B
2218	o
00A8	 
# 20DC is a non-spacing combining mark; don't map
#20DC	....
210B	H
2134	o
2133	M
# 20DB is a non-spacing combining mark; don't map
#20DB	...
2034	'''
2259	wedge
00B4	 
02D8	 
02C7	 
00B8	 
005E	 
00A8	 
0060	 
00AF	 
00A8	 
00BD	(1/2)
00BD	(1/2)
00BC	(1/4)
00BE	(3/4)
215B	(1/8)
215C	(3/8)
215D	(5/8)
215E	(7/8)
00B9	(1)
00B2	(2)
00B3	(3)
# 002B	+
00B1	+/-
# 003C	<
# 003D	=
# 003E	>
00F7	/
00D7	x
00A4	currency
00A3	pound
# 0024	$
00A2	cent
00A5	yen
# 0023	#
20AC	euro
# 0025	%
# 0026	&
# 002A	*
# 0040	@
# 005B	[
005C	\\
# 005D	]
# 007B	{
2015	-
# 007C	|
# 007D	}
00B5	micro
00B0	degrees
00BA	masculine
00AA	feminine
00A7	section sign
00B6	paragraph sign
00B7	.
2190	<--
#2191	upward arrow
2191	^
2192	-->
#2193	downward arrow
2193	v
00A9	(c)
00AE	(R)
00A6	|
00AC	not
266A	music note
# 0021	!
00A1	inverted exclamation mark
# 0022	"
# 0027	'
# 0028	(
# 0029	)
# 002C	,
# 005F	_
2010	-
# 002E	.
# 002F	/
# 003A	:
